Geneid	Cu_Cnt1a	Cu_Cnt1b	Cu_Cnt1c	Cu_Cnt2a	Cu_Cnt2b	Cu_Cnt2c	Cu_WD2a	Cu_WD2b	Cu_WD2c	Cu_WD1a	Cu_WD1b	Cu_WD1c
ENSG00000142611	50	37	17	245	312	278	92	98	121	814	999	962
ENSG00000284616	4	4	12	1	1	5	0	4	0	0	0	0
ENSG00000157911	420	265	358	269	285	232	377	603	396	299	254	343
ENSG00000260972	0	0	0	1	0	0	1	1	1	0	0	0
ENSG00000224340	2	0	1	4	2	5	1	4	2	0	2	2
ENSG00000229280	0	1	2	0	1	1	2	2	0	0	0	0
ENSG00000142655	411	301	375	372	369	343	352	661	406	196	231	264
ENSG00000232596	1	3	1	3	10	18	1	7	1	2	2	2
ENSG00000231510	2	0	0	0	0	2	17	11	11	0	0	1
ENSG00000149527	71	48	32	408	481	487	92	107	87	95	132	98
ENSG00000171621	109	96	103	102	86	120	145	183	152	39	26	43
ENSG00000272235	0	1	0	2	2	3	2	2	1	4	12	8
ENSG00000284694	0	1	4	0	1	2	0	3	2	0	2	0
ENSG00000224387	1	0	4	15	15	23	0	1	4	3	5	1
ENSG00000142583	8	6	13	8	7	8	8	18	6	13	9	13
ENSG00000284674	0	1	0	1	1	0	0	0	0	0	0	0
ENSG00000224338	1	2	2	0	1	1	2	0	1	0	0	1
ENSG00000287727	4	12	1	12	8	21	5	2	20	7	14	30
ENSG00000173614	263	202	237	244	255	239	393	410	477	224	282	315
ENSG00000215720	1	0	1	2	4	9	3	4	1	0	0	6
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	1	3	0	1	1	3	0	2	0	0	1	3
ENSG00000204624	638	425	433	510	519	603	237	310	252	805	861	1074
ENSG00000142606	1	3	3	14	4	6	13	32	20	1	1	2
ENSG00000225931	0	1	0	0	0	1	2	1	0	0	0	0
ENSG00000171729	250	209	300	273	252	267	315	476	345	156	179	136
ENSG00000229393	1	1	0	23	19	19	6	0	3	2	4	0
ENSG00000287586	2	4	1	38	48	52	1	2	2	11	26	25
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	3	0	2	1	0	0	0	0	0	0
ENSG00000157916	1486	1202	1053	1142	1577	1262	1818	2263	2142	1068	1223	1194
ENSG00000157881	408	324	335	481	528	544	456	648	534	326	282	292
ENSG00000225387	3	0	0	1	5	4	2	4	1	0	0	2
ENSG00000048707	1396	1634	533	3451	4928	4643	1539	1420	3001	3244	4419	3829
ENSG00000225196	0	1	1	5	2	6	1	2	2	0	2	6
ENSG00000162444	1	6	12	2	1	6	21	27	21	1	0	5
ENSG00000279625	0	1	0	0	0	0	0	1	1	0	0	0
ENSG00000180758	184	149	129	45	37	33	85	82	91	32	46	42
ENSG00000184677	1242	1286	564	850	1099	957	1534	1393	2245	978	1122	1174
ENSG00000285833	2	2	0	2	1	2	2	0	0	2	5	5
ENSG00000131697	891	736	635	673	775	822	663	860	743	415	524	460
ENSG00000280222	4	4	3	8	13	19	4	7	0	0	1	0
ENSG00000285945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197921	471	211	616	341	273	337	404	923	446	102	85	70
ENSG00000284666	0	0	0	0	0	0	1	0	0	0	1	0
ENSG00000228943	1	0	0	0	0	0	0	1	0	0	0	3
ENSG00000234397	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000204138	4089	2715	2464	1974	2159	2159	2549	3367	3524	1994	2425	2381
ENSG00000233419	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000225011	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284676	3	0	1	0	2	2	2	4	0	1	1	0
ENSG00000090020	549	512	545	477	450	469	502	647	639	368	430	388
ENSG00000158006	320	301	217	157	167	181	492	693	605	246	243	306
ENSG00000214812	2	0	2	0	0	0	0	0	0	0	0	0
ENSG00000196581	154	144	72	3419	4786	4180	90	80	144	2780	3673	3397
ENSG00000169403	12	8	5	8	5	7	13	8	8	0	3	5
ENSG00000171612	726	421	676	828	765	770	968	1489	1116	401	309	479
ENSG00000270927	0	1	0	0	0	1	0	3	1	0	0	0
ENSG00000188910	3	0	0	1	1	2	0	4	2	0	2	4
ENSG00000230523	0	2	0	2	5	7	1	0	3	2	0	0
ENSG00000158161	1103	1160	530	777	954	937	1083	1067	1714	799	1071	995
ENSG00000233234	2	0	1	1	0	1	0	1	0	0	0	0
ENSG00000189337	1823	1381	933	1508	1834	1585	836	867	1096	1327	1414	1475
ENSG00000028137	21	46	25	0	1	5	81	117	79	12	14	8
ENSG00000283259	1	0	0	0	0	0	1	1	0	0	0	0
ENSG00000130939	2571	2357	1131	1664	2167	1875	2881	2614	3653	1895	2133	2069
ENSG00000175147	24	32	20	90	96	93	94	78	86	53	79	83
ENSG00000127472	18	6	8	10	1	3	8	5	9	5	1	0
ENSG00000060656	302	364	246	322	357	363	768	1033	990	157	113	172
ENSG00000230214	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000189280	0	3	0	1	3	0	2	1	5	0	7	0
